2020-04-21 15:22:30.724 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:30.773 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:30.823 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:30.845 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:30.879 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:30.898 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:30.907 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:30.917 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:30.928 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:30.940 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:30.947 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:30.953 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:30.958 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:30.969 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:30.980 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:30.992 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:31.000 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:31.011 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:31.019 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:31.028 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:31.057 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:31.093 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:31.245 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:31.276 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:31.309 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:31.328 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:31.337 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:31.347 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:31.356 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:31.385 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouterThread.thread_action()' was performed in 3.07 seconds.
2020-04-21 15:22:45.368 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Saving 'DiyIpmi.ses'...
2020-04-21 15:22:48.135 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Saving 'DiyIpmi.rules'...
